Page URL,Page Type,Current H1,Target Keyword,Suggested H1,SEO Priority,Ad Targeted?,Data File,Field Name,Notes
/product/customers,Product,"Turn every bill into a customer who comes back.","restaurant CRM, loyalty software for restaurants","Restaurant CRM & loyalty software — turn every bill into a customer who comes back.",MEDIUM,No,src/data/products.js,PRODUCT_PAGES.customers.h1,Phase 2
/product/protect-profit,Product,"Catch leakage, theft, and waste — before they eat your margin.","restaurant inventory management, restaurant audit","Restaurant inventory management — catch leakage, theft and waste before they hit your margin.",MEDIUM,No,src/data/products.js,PRODUCT_PAGES.protect-profit.h1,Phase 2
/product/central-inventory,Product,"One stock brain for every outlet — built for franchises & chains.","restaurant inventory management, central inventory POS","Central inventory management for chains — one stock source across all your outlets.",MEDIUM,No,src/data/products.js,PRODUCT_PAGES.central-inventory.h1,Phase 2
/solutions/bars-pubs,Sector,"Pour perfect profits — every tab, every pour, every last call.","bar POS, bar billing software, pub POS","Bar POS system — every tab, every pour and every last call perfectly accounted.",LOW,No,src/data/sectors.js,SECTOR_PAGES.bars-pubs.h1,Phase 3
/solutions/bakeries,Sector,"From morning bread to custom cakes — run your bakery with precision.","bakery POS, bakery billing software, bakery management","Bakery POS & management software — from morning bread to custom cakes, run with precision.",LOW,No,src/data/sectors.js,SECTOR_PAGES.bakeries.h1,Phase 3
/solutions/ice-cream-desserts,Sector,"Serve sweet moments fast — and keep every scoop profitable.","ice cream shop POS, dessert shop billing software","Ice cream shop POS — serve sweet moments fast and keep every scoop profitable.",LOW,No,src/data/sectors.js,SECTOR_PAGES.ice-cream-desserts.h1,Phase 3
/solutions/canteens,Sector,"Prepaid, subsidized, and fully accountable — zero leakage.","canteen management software, canteen POS","Canteen management software — prepaid, subsidized and fully accountable. Zero leakage.",LOW,No,src/data/sectors.js,SECTOR_PAGES.canteens.h1,Phase 3
/pricing,Other,"Build your MyGenie plan.","restaurant POS pricing, POS system price","Restaurant POS pricing — transparent plans from ₹799/month. No hidden costs.",MEDIUM,No,src/pages/Pricing.jsx,EditableText fallback: pricing.hero.h1,
/product,Other,"Every tool your business needs — in one operating system.","restaurant POS features, restaurant management system features","Restaurant POS features — billing, KDS, inventory, CRM and AI in one system.",LOW,No,src/pages/ProductIndex.jsx,EditableText fallback: product.index.hero.h1,
/solutions,Other,"One POS for every kind of hospitality business.","POS for restaurants","One POS for every kind of hospitality business. ✅ Already has keyword — no change needed.",LOW,No,src/pages/SolutionsIndex.jsx,EditableText fallback: solutions.index.hero.h1,PASS — already has POS keyword
/ai,Other,"AI that works on the floor — not in a pitch deck.","AI for restaurants, restaurant AI software","AI for restaurants — real results on the floor, not just in a pitch deck.",LOW,No,src/pages/AiPage.jsx,aiDoc.hero.h1,
/demo,Other,"See MyGenie live — built for your restaurant.","compare restaurant POS, switch POS, better restaurant POS","Compare MyGenie with your current restaurant POS — see the difference live.",HIGH,Yes,src/pages/DemoLanding.jsx,DEMO_DEFAULTS.headline,Competitor-focused page — see CR-87 brief for full 4-tweak copy changes
/petpooja-alternative,Competitor LP,"The honest Petpooja alternative — see why 500+ restaurants switched to MyGenie.","Petpooja alternative","✅ ALREADY FIXED (CR-75 — 2026-08-20).",HIGH,Yes,src/data/vsp.js,VSP_HERO.variant_a,Implemented
